57|화성병점|경기 화성시 병점2로 38 1층|37.2064037142525|127.040995152157|86.0|6|0|2|78|32|4|1|10|27|0|153219028.0|51073009|612876114|2.0|0.0|1.0|23.0|14.0|1.0|0.0|4.0|6.0|0.0|125.74|2007-08-28|nan|영업|nan|13|27|27690000|2495|87983|2701|3540000|24400|3530000
58|안산사동|경기도 안산시 상록구 사2동 1470-9|37.2806388565512|126.852151746543|167.0|8|0|1|32|6|6|0|4|22|0|111544938.0|37181646|446179752|5.0|0.0|1.0|11.0|2.0|2.0|0.0|0.0|11.0|0.0|92.42|2007-01-04|nan|영업|nan|5|9|25980000|2298|53171|2861|3330000|12121|3010000
59|병점역|경기 화성시 병점3로 12 신성빌딩 1층|37.2076288670608|127.034819113525|88.0|6|0|1|59|25|4|1|8|29|0|116590888.0|38863629|466363554|3.0|0.0|0.0|24.0|8.0|3.0|1.0|1.0|11.0|0.0|85.29|2007-02-20|nan|영업|nan|9|21|26830000|2418|148410|2998|3520000|10997|3440000
60|수원법원|경기도 수원시 영통구 동수원로 515 1층|37.2732006082345|127.046759467701|172.0|10|0|4|75|38|4|0|13|14|0|118401411.0|39467137|473605647|5.0|0.0|1.0|19.0|6.0|0.0|0.0|3.0|8.0|0.0|85.68|2019-08-07|nan|영업|nan|23|49|23220000|1963|228078|6424|4080000|14098|3460000
61|수원인계한신|경기 수원시 팔달구 경수대로 549|37.2750597321294|127.029362042244|173.0|3|1|3|63|47|2|0|5|17|0|232775368.0|77591789|931101474|1.0|0.0|1.0|12.0|13.0|1.0|0.0|3.0|3.0|0.0|108.0|2018-06-08|nan|영업|nan|7|29|24390000|2091|89363|8200|3620000|8779|3070000
62|안산초당|경기도 안산시 상록구 사2동 1418-1|37.2834129709608|126.847602131181|174.0|9|0|1|39|9|5|0|4|23|0|111544938.0|37181646|446179752|6.0|0.0|0.0|17.0|1.0|2.0|0.0|1.0|12.0|0.0|80.73|2008-06-24|nan|영업|nan|6|10|25980000|2298|52744|3358|3330000|10863|3010000
63|평택만세로|경기도 평택시 만세로 1776|37.0095355700635|127.107456278494|21.0|24|0|0|48|13|2|0|5|43|0|85120263.0|28373421|340481053|1.0|0.0|0.0|12.0|6.0|0.0|0.0|1.0|2.0|0.0|155.62|2004-06-15|nan|영업|nan|3|30|24490000|1937|20849|598|3560000|12797|3510000
64|기흥IC|경기 용인시 기흥구 기흥단지로 6|37.2220291412113|127.103527459232|109.0|4|0|0|31|15|0|0|1|13|0|24473155.0|8157718|97892620|0.0|0.0|0.0|15.0|3.0|0.0|0.0|0.0|0.0|0.0|146.87|2012-04-20|nan|영업|nan|1|7|30500000|2581|47016|908|4260000|245|3790000
65|동탄중앙|경기도 화성시 병점2로 162|37.213257942727|127.05153450634|102.0|11|0|1|84|30|4|0|10|28|0|138609196.0|46203065|554436784|2.0|0.0|0.0|33.0|8.0|2.0|0.0|4.0|1.0|0.0|68.92|2009-06-08|nan|영업|nan|3|30|37160000|3005|47217|1297|3550000|15824|3600000
66|화성보보스|경기 화성시 기안동 371-2|37.2227434431803|126.974827313332|103.0|9|0|0|53|14|0|0|6|28|0|356227730.0|118742576|1424910920|3.0|0.0|0.0|19.0|7.0|0.0|0.0|2.0|6.0|0.0|118.0|2012-01-04|nan|영업|nan|4|13|35540000|2574|63700|924|3470000|11727|3150000
67|동탄성심병원|경기 화성시 삼성1로 144-9|37.2170713446303|127.078493201462|105.0|6|0|1|27|3|3|0|3|4|0|83986000.0|27995333|335944001|5.0|0.0|1.0|12.0|0.0|0.0|0.0|0.0|2.0|0.0|71.04|2010-02-17|nan|영업|nan|6|7|93420000|7130|101594|1375|4530000|1001|4210000
68|화성반월SK|경기도 화성시 반월동 627-3|37.2220554989547|127.058002305087|108.0|9|0|0|25|12|3|0|8|30|0|79900846.0|26633615|319603384|3.0|0.0|0.0|8.0|4.0|0.0|0.0|3.0|13.0|0.0|65.19|1997-05-31|nan|영업|nan|2|13|32490000|3589|71608|3269|4240000|7853|3960000
69|화성봉담|경기도 화성시 봉담읍 동화리 599-4|37.2165693020769|126.958832941385|96.0|9|0|0|59|16|4|0|7|35|0|157428081.0|52476027|629712324|3.0|0.0|0.0|24.0|6.0|1.0|0.0|5.0|19.0|0.0|88.12|2009-05-20|nan|영업|nan|4|13|27390000|2006|73715|1465|3500000|12390|3190000
70|화성반월|경기도 화성시 영통로 14-10|37.2331286680461|127.065082746115|110.0|14|0|0|46|21|3|0|6|39|0|45843661.0|15281220|183374645|5.0|0.0|0.0|23.0|7.0|0.0|0.0|3.0|17.0|0.0|87.5|2011-04-29|nan|영업|nan|8|20|25120000|2251|82243|1986|4810000|10138|3970000
71|오목천동|경기 수원시 권선구 삼천병마로 1599|37.2452210556702|126.963457766672|117.0|4|0|0|39|14|0|1|4|17|0|85469773.0|28489924|341879095|3.0|0.0|0.0|13.0|8.0|0.0|1.0|3.0|11.0|0.0|176.13|2008-05-21|nan|영업|nan|4|5|33560000|2500|113422|982|3530000|13458|3140000
